person,age_at_founding,age_became_billionaire,age_education_ended,books_authored,children_in_business,co_founded,co_founder_skill_complement,consumption_index,employer_1,employer_2,employer_3,estimated_inheritance_m,estimated_lifetime_giving_m,ethnicity,family_business_type,family_office,family_office_name,family_owned_business,family_socioeconomic_class,father_occupation,first_gen_immigrant,first_institutional_investor,foundation_name,founding_detail,giving_pct_of_net_worth,giving_pledge_signatory,government_roles_held,heritage_detail,initial_funding_detail,initial_funding_type,known_art_collector,known_failed_ventures,major_lawsuits,market_position,market_position_detail,media_visibility,moat_type,moat_type_detail,mother_occupation,notable_political_positions,number_of_co_founders,number_of_companies_founded,number_of_marriages,parent_education_level,parent_immigrant,parent_immigration_detail,party,party_detail,pre_wealth_bankruptcy,primary_domain_expertise,primary_philanthropic_causes,private_jet,revenue_model_type,revenue_model_type_detail,role_at_employer_1,role_at_employer_2,role_at_employer_3,skill_profile,social_media_activity,total_pre_founding_career_years,wealth_concentration_ratio_pct,yacht,year_founded,years_at_employer_1,years_at_employer_2,years_at_employer_3,years_founding_to_1b
jeffrey_lurie,33,,30.0,,0.0,N,Leo KoGuan (ex-husband); complementary business partner,high,General Cinema Corporation,Chestnut Hill Productions,Boston University,100.0,,"american,white",Theater/Cinema chain (General Cinema),Y,,Y,wealthy,Economist,N,,Lurie Family Foundation,,,N,,Jewish heritage,Loan,other,,Several forgettable films (Chestnut Hill Productions),,fragmented,,medium,"ip,reputation,scale",Customer relationships / scale / IT services breadth,Nancy Lurie Marks,"Democratic donor, supporter of Democratic candidates",0.0,2.0,2.0,college,N,South Korean,democrat,,Y,Entertainment/Sports ownership,"Social policy, mental health, documentary film",Y,other,IT solutions provider ($14.3B revenue),Executive,Founder/Producer,Adjunct Assistant Professor of Social Policy,"ops,sales",low,11.0,60.0,N,1985,2.0,9.0,9.0,
jeffrey_michael,,,,0,2.0,Y,,,Corvel Corporation,,,,,,,Y,"Corstar Holdings, Inc.",N,,,N,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,Founding Investor / Board Member,,,,,,38.0,,1987,,,,17.0
jeffrey_soffer,,,,0,,N,,high,Turnberry Associates,Fontainebleau Development,,,,"american,canadian",Real estate development,Y,,Y,wealthy,Real estate developer,Y,,,,,N,,,,,,Fontainebleau Las Vegas (bankruptcy during 2008 financial crisis),,,,medium,"brand,location",Brand/Location (historic luxury hotel),,,,1.0,2.0,,Y,,republican,,N,Growth Equity / Venture Capital,,Y,,,Co-head/Executive,Founder,,finance,low,,,Y,2019,,7.0,,
jeffrey_talpins,35,,,0,1.0,N,,high,Citigroup,Goldman Sachs,Element Capital Management,0.0,100.0,american,None/Farm,Y,,N,working,,N,,Talpins Foundation,,,N,,,Debt/Borrowed,debt_financing,Y,,Neighbor disputes over property development,fragmented,,low,"ip,reputation",Proprietary trading expertise,,,0.0,1.0,1.0,,N,,,,N,Macro Trading,"First-generation college students, education",Y,financial_services,Hedge Fund / Management & Performance Fees,Trader,Trader,Founder / Portfolio Manager,finance,low,,95.0,Y,1968,,,,
jennifer_gilbert,,,,3,2.0,N,,,Rock Financial (Gary Gilbert freelance),,,,,"american,panamanian",Interior Design / Mortgage,,,Y,wealthy,,Y,Accel,Gilbert Family Foundation; NFX,,,N,,,,,,,,fragmented,,medium,scale,Scale / Acquisition-driven network,,,,3.0,1.0,,Y,from Panama,,,,Interior Design,Neurofibromatosis research; housing stability; economic mobility in Detroit,,other,Product Distribution,Freelance Designer,,,"ops,sales",,,,,2013,53.0,,,
jennifer_pritzker,,,,0,,N,,low,U.S. Army,,Tawani Enterprises,,,"american,israeli","Hotels and industrial firms (Hyatt Hotels chain, industrial companies)",Y,Tawani Enterprises,Y,wealthy,"Businessman/industrialist (Hyatt Hotels, industrial firms)",Y,,Tawani Foundation,,,N,Retired Army Lt. Colonel,"born Raanana, Israel",Inheritance,inheritance,Y,,,fragmented,,medium,"brand,location",Brand/Location,,Opposed Trump's transgender military ban; offered to help find a better solution,0.0,1.0,2.0,,Y,,republican,,N,Wealth management / military,"Educational initiatives, military history preservation, LGBTQ organizations",,construction,"NYC luxury condo development (One57, Central Park Tower — tallest residential building in world at 1,550ft)",Lieutenant Colonel,,Founder and CEO,"finance,ops",low,,,,2003,,,,
jennifer_steinbrenner_swindal,45,,22.0,1,0.0,,,low,New York Yankees — Public Affairs Dept,Community/nonprofit boards,Yankee Global Enterprises (NY Yankees),600.0,,"american,german","Sports franchise (MLB, MLS, media, hospitality)",Y,,Y,wealthy,Sports team owner / businessman (New York Yankees),N,,New York Yankees Foundation; NY Yankees Tampa Foundation; Gold Shield Foundation,,,N,,,,,,,,,,low,brand,Brand / Franchise,Philanthropist; former Vice Chairwoman NY Yankees; studied dental hygiene Ohio State,,,,2.0,college,N,,republican,,N,,"Tibetan Buddhism, spiritual education",,licensing_royalties,"Licensing, broadcasting, ticket sales, merchandising",Public Affairs staff,"Board member, volunteer philanthropist",General Partner & Vice Chairperson,,low,,,,,1.0,23.0,17.0,
jenny_love_meyer,,,,0,,Y,,,Love's Travel Stops & Country Stores,,,,,"american,white",Truck stop and convenience store chain,,,Y,wealthy,Entrepreneur / Founder (Love's Travel Stops),N,,Love Family Foundation,,,N,,,"Family loan ($5,000 from paternal grandparents)",family_capital,,,,fragmented,,low,"ip,scale,vertical_integration",Scale / Family ownership / Vertical integration,Co-Founder (Love's Travel Stops),,1.0,,1.0,,,,republican,,N,,Children's hospitals,,retail,Retail / Convenience / Fuel,Chief Culture Officer and EVP,,,,low,,,,1964,,,,
jensen_huang,30,49.0,29.0,0,2.0,Y,"Malachowsky (hardware), Priem (engineering); Huang (vision, leadership)",low,AMD,LSI Logic,Denny's,0.0,2000.0,"american,taiwanese",,Y,,N,middle,Chemical engineer (Taiwan refinery),Y,"Sequoia Capital / Sutter Hill Ventures ($2M, 1993)",Jen-Hsun & Lori Huang Foundation,,1.3,N,,,VC ($2M Sequoia + Sutter Hill),other,N,"NV1 chip (1995, commercial failure)",$40B Arm acquisition blocked by FTC (terminated Feb 2022),winner_take_all,AI chips,high,"ip,technology",CUDA ecosystem / Technology lead / 80%+ AI chip share,Grade school teacher,Personally lobbied Trump and Republican senators on AI chip export controls (Dec 2025),2.0,1.0,1.0,college,Y,,,Apolitical,N,"Semiconductor/chip design, GPU architecture","Higher education (Oregon State $50M, Stanford $30M), STEM, biomedical AI ($100M UCSF)",N,other,GPU/chip sales (data center 90%+ of revenue),Chip designer,Director of CoreWare,Waiter,"ops,tech",low,9.0,95.0,N,1993,2.0,7.0,,26.0
jeremy_allaire,,,,0,,Y,Sean Neville (co-founder),,Allaire Corp.,Brightcove,Circle,,,,"Investment / Consumer Goods (ABInBev, Restaurant Brands International)",,,N,wealthy,Investor / Founding Partner at 3G Capital,,Accel,,,,,,,,,,,,winner_take_most,,high,,,,,1.0,3.0,,,,,,,,Internet/Technology/Crypto,,,other,Stablecoin issuance,Founder/CEO,Founder/CEO,Co-founder and CEO,,,,,,2013,,,,
jeremy_jacobs_sr,,,,1,6.0,,,medium,Delaware North,,,0.0,30.0,"american,jewish",Hospitality/food service concessions,Y,,Y,wealthy,Entrepreneur/food vendor (popcorn and peanuts seller),N,,Jacobs Family Foundation,Inherited/family business,,N,,,,,,,,winner_take_most,,low,scale,Scale/contracts (global hospitality concessions leader),,,,1.0,,,,,republican,,N,Hospitality/food service management,Higher education (University at Buffalo medical school),Y,"food_beverage,healthcare,media_entertainment","Hospitality/food service (sports venues, airports, parks, casinos; $4B+ revenue)",Chairman,,,ops,low,,100.0,,1915,37.0,,,
jerry_jones,,52.0,,,3.0,N,,high,Pat's Supermarket,Jones Oil & Land Lease,Dallas Cowboys,,,"american,white","Grocery stores, insurance",Y,Blue Star Innovation Partners,Y,upper_middle,"Grocery store owner, insurance company president",,,,,,N,,,Self-funded,self_funded,Y,,"Paternity lawsuit (2022, Alexandra Davis); $250K NFL fine (2025)",winner_take_most,,high,brand,Exclusive franchise / Brand,,NFL team governance advocate,0.0,2.0,1.0,,,,republican,Conservative,N,Oil & Gas / Sports Franchise,,Y,"energy_resources,media_entertainment",Mixed (sports revenue + oil & gas),Customer Greeter,Owner/Operator,Owner/General Manager,"finance,ops,sales",,,,Y,1989,1.0,,,
jerry_moyes,24,,,0,,Y,,,Swift Transportation,SME Industries,,,,american,Transportation / trucking,,,N,wealthy,Truck driver / transportation entrepreneur (co-founded Swift Transportation),N,,,,,N,,White,Bootstrapped,self_funded,,Phoenix Coyotes (bankruptcy 2009),Phoenix Coyotes bankruptcy filing 2009,winner_take_most,,medium,scale,Scale / Network,,,1.0,2.0,,,,,republican,,N,Logistics / Trucking,Charity (5% pretax profits),,other,Service / freight transportation,Co-Founder / CEO,Owner / Operator,,ops,,,,,1966,,,,
jerry_reinsdorf,,,,0,,Y,,medium,IRS,Balcor Company,IRS,0.0,,"american,white",,,,N,working,,Y,,,,,N,,Jewish heritage,Private,other,,,,winner_take_most,,medium,brand,Brand / Franchise Exclusivity,,,1.0,1.0,,,Y,"Jewish refugees from Ukraine, 1991",republican,,,Real Estate / Sports Ownership,,,"media_entertainment,real_estate",Sports franchise ownership; real estate investments,Tax attorney,Co-founder (real estate),Tax Attorney,"finance,legal",,,8.0,,1973,,,,
jerry_seinfield,35,,,1,0.0,Y,Larry David (writing/creative),high,Benton & Bowles (advertising),,,,,"american,white",,,,N,middle,Sign maker (Hungarian Jewish descent),N,,,,,N,,Jewish heritage,Bootstrapped,self_funded,,,,,,high,"brand,ip",Brand/IP,Homemaker,,1.0,1.0,1.0,,Y,,,,N,Entertainment/Comedy,"Children's causes, education",N,media_entertainment,"Seinfeld syndication/streaming (sold to Netflix $500M, 2021); Comedians in Cars Getting Coffee; stand-up touring",Copywriter,,,sales,low,,15.0,N,1989,,,,
jerry_speyer,39,,,0,1.0,Y,Robert Tishman (real estate),,Tishman Speyer,,,,,"american,spanish",Real Estate,Y,,N,wealthy,Chemical trader (papermaking chemicals),Y,,,,,N,,,,,Y,Stuyvesant Town-Peter Cooper Village,Stuyvesant Town-Peter Cooper Village default and litigation,fragmented,,medium,location,Trophy Assets/Location,,,1.0,1.0,2.0,,Y,moved from Spain to Brazil as teen,democrat,,N,Real Estate,"Arts (MoMA), Healthcare (New York Presbyterian Hospital)",,real_estate,Rental/Leasing,,,,"finance,ops,sales",,,,,1978,,,,
jerry_yang,26,29.0,,0,,Y,Technical (David Filo - engineering/backend),,Tax Law Practice (Atlanta),Yahoo,AME Cloud Ventures,0.0,25.0,"american,taiwanese",None mentioned,Y,AME Cloud Ventures,N,lower_middle,Deceased (died when Jerry was 2),Y,Sequoia Capital,Jerry Yang and Akiko Yamazaki Foundation,,,N,,,Venture Capital,venture_capital,Y,,SEC settlement 2003 – alleged fraud via improper late trading and market timing,,,medium,,,English teacher,,1.0,2.0,1.0,,Y,"from Taiwan, age 10",,,N,Technology / Internet,Arts and culture (Asian Art Museum); education (Stanford),Y,advertising,Advertising,Tax Lawyer,Co-Founder / CEO,Founder,"sales,tech",low,,,N,1995,,,14.0,
jessica_steinbrenner,,,26.0,2,,,,,Goldman Sachs,Goldman Sachs,Goldman Sachs,,,,"Sports (MLB team, MLS, soccer club, media/hospitality)",,,Y,wealthy,Sports team owner / businessman (New York Yankees owner),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance/Investment Banking,,,,,Partner,President and COO,Chairman and CEO,finance,,,,,,16.0,2.0,12.0,
jim_breyer,34,,26.0,0,,N,,medium,Apple,Accel Partners,Breyer Capital,,,"american,hungarian",,Y,Breyer Capital,N,working,,N,Blackstone,Breyer Capital (family office/foundation),,,N,,,Self-funded / personal capital,self_funded,Y,,,,,medium,reputation,Reputation/Activist expertise,,,0.0,1.0,2.0,unknown,Y,,,,,Venture Capital / Technology Investing,"Arts, Film, Museums",,other,"VC — led $12.7M Accel investment in Facebook (2005, returned $11B+)",Marketing intern/part-time,Partner/Venture Capitalist,Founder,finance,,29.0,,,2006,1.0,28.0,20.0,
jim_coulter,33,,28.0,0,,Y,David Bonderman - deal-making/investing,medium,Goldman Sachs,Goldman Sachs,Lehman Brothers Kuhn Loeb,0.0,,"american,white",,Y,,N,working,Bar owner,N,TPG,Coulter Family Foundation,,,N,"Co-chair, LEAD Commission",,Institutional,other,Y,,Water rights disputes in California,winner_take_most,,medium,"brand,location,vertical_integration","Owns water rights + 180,000 acres CA farmland / Vertical integration / Brand",,Controversial water politics in California,1.0,1.0,,,,,democrat,,N,Private Equity / Finance,"Education, climate, impact investing",,"diversified,management_fees",Diversified PE ($230B+ AUM),Associate,Unknown role,Financial Analyst,finance,low,,100.0,,1992,,,,
jim_crane,,,,0,,Y,"Julian Baker (brother, co-founder)",high,Eagle Global Logistics,Crane Worldwide,,,,"american,white",,,,N,middle,,N,,,,,N,,,Self-funded,self_funded,,,Houston Astros sign-stealing scandal,fragmented,,high,,,,,1.0,2.0,,,,,republican,,,Biotechnology investing,,Y,other,Logistics services,Owner/Founder,Founder/Owner,,finance,low,6.0,40.0,N,2008,6.0,18.0,,
jim_davis_2,20,41.0,,1,,N,,low,Father's restaurants,New Balance,,,,"american,white",Restaurants,,,N,middle,Restaurant owner,N,,,,,N,,,Personal acquisition,other,,,,fragmented,,low,brand,Brand / manufacturing heritage,,Anti-Apple app store fees; open internet advocate,0.0,1.0,,,,,,,N,Consumer goods / footwear,Land conservation / environmental,,other,Athletic footwear/apparel ($6.5B+ revenue; still manufactures ~25% in US/UK),Lumper (tray carrier),Chairman,,sales,,,95.0,,1972,35.0,,,
jim_davis_2,24,,,1,,Y,Cousin Steve Bisciotti (also billionaire co-founder),,,,,,,"american,german",Real estate development,Y,Redwood Capital,N,middle,"Real estate developer (shopping centers, West Germany)",N,,,,,N,,,Bootstrapped,self_funded,,,,winner_take_most,,low,scale,Scale,,,1.0,,1.0,,Y,Holocaust survivors from post-war Germany,,,N,Staffing/recruiting,Holocaust remembrance (Yad Vashem),,professional_services,Staffing/services,,,,sales,low,,,,1983,,,,
jim_goodnight,33,,,,0.0,Y,"John Sall (co-founder, also billionaire)",medium,GE Company (Apollo space program),Carnival Corp,Miami Heat,,,"american,white",Carnival Corporation,,,N,working,Hardware store owner,N,,,,,N,,,Bootstrapped/Self-funded,self_funded,,,,winner_take_most,,low,technology,98% customer retention / Largest private software company / R&D (25-30% of revenue),,Refused IPO; rejected Broadcom acquisition ~$15-20B (2021),3.0,1.0,1.0,,Y,father Ted Arison immigrated from Israel,republican,,,Analytics Software,"Education (Goodnight Scholars, Cary Academy)",Y,saas_subscription,Analytics software subscriptions,Sales Representative,CEO,Owner/Chairman,tech,,,100.0,Y,1976,,,31.0,
jim_kavanaugh,26,,,0,0.0,Y,David Steward (co-founder),medium,St. Louis Steamers (professional soccer),World Wide Technology (WWT),WWT,0.0,30.0,"american,white",,,,N,working,Welder,N,,,,0.4,N,,,Self-funded/bootstrapped,self_funded,,,,fragmented,,medium,,,,Major Trump/GOP donor,1.0,1.0,3.0,unknown,N,,republican,major Trump donor; $10M to Greg Abbott campaign,N,IT distribution and technology solutions,"Parks, urban green space",Y,other,Product resale / distribution,Professional Soccer Player,Co-Founder and CEO,CEO,"ops,sales",low,,,N,1990,,34.0,,30.0
jim_kennedy,,,,1,,,,medium,Cox Enterprises,,,,,"american,white",Media and automotive,Y,,Y,wealthy,Dan L. Duncan (Enterprise Products founder),N,,Duncan Family Foundation,N/A (inherited),,N,,,,,,,,,,low,"brand,scale","Scale economies, brand value",Barbara Cox Anthony (heiress/businesswoman),,,,,,,,democrat,,N,Media / Automotive,"Education, healthcare, sustainability",Y,"media_entertainment,telecom","Automotive services (Autotrader, Kelley Blue Book, Manheim), telecom (Cox Communications), media","Production assistant, newspaper division",,,ops,low,,,,1898,54.0,,,
jim_koch,34,60.0,,1,,N,,low,Boston Consulting Group,Boston Beer Company (Samuel Adams),Aftermath Entertainment,0.0,70.0,african_american,Brewing/Beer,,,N,working,R&B singer (The Romelles),N,,,,,N,,,Self-funded,self_funded,,,$100M+ divorce settlement,fragmented,,medium,brand,Brand/Network,,,0.0,1.0,,,,,,,,Consumer Goods / Brewing,"Education, Arts & Technology",,other,"Craft beer (Samuel Adams, Truly Hard Seltzer, Twisted Tea, Angry Orchard)",Consultant,Founder/Chairman,Founder/CEO/Producer,"ops,sales",,,18.5,,1984,3.0,4.0,34.0,
jim_mckelvey,44,,,3,,Y,Jack Dorsey (tech/product),medium,"Kidder, Peabody & Co.",Indosuez Capital,Royal Bank of Canada,,,"american,white",,,,N,middle,,N,,,,,N,"Board member, Federal Reserve Bank of St. Louis",,,,Y,,,winner_take_most,,medium,network_effects,Network effects / ecosystem,,,1.0,7.0,,,,,,,N,Private Credit / Alternative Investments,Education/coding literacy (LaunchCode),,transaction_commission,Transaction fees,Unknown Role,Unknown Role,Unknown Role,finance,,,,,2009,,,,
jim_walton,,37.0,22.0,0,1.0,,,medium,Walton Enterprises,Arvest Bank Group,,,1200.0,"american,white",Walmart (founded 1962),Y,Walton Enterprises LLC,Y,wealthy,"Sam Walton, Walmart founder",N,,Walton Family Foundation (shared); Town Branch Foundation ($566M assets),,1.0,N,,,Inherited,inheritance,N,,None major personal,winner_take_most,#1 retailer globally,low,"distribution,scale",Scale / Logistics / EDLP pricing,Helen Robson Walton,Major donor; Walton family gave $22M in 2024 cycle (83% Republican),,0.0,1.0,college,N,,republican,,N,"Banking, real estate, retail governance","Education, NW Arkansas community ($548.8M annual WFF grants)",Y,"financial_services,food_beverage,retail","Retail (grocery, general merchandise), e-commerce, banking",Head / Chairman,"Chairman (former CEO, stepped down Nov 2024)",,finance,,0.0,90.0,N,,52.0,32.0,,
jimmy_haslam,,,,0,,Y,,medium,Pilot Flying J,Cleveland Browns,Milwaukee Bucks,,,"american,white",Fuel/Truck Stop Retail,,,Y,wealthy,James Haslam II (Pilot founder),N,,Haslam Family Foundation,,,N,,,,,,,Pilot Flying J fraud scandal ($92M in penalties; employees convicted of cheating trucking customers on diesel rebates; Haslam not personally charged),winner_take_most,,medium,scale,Scale/Network,,,,1.0,1.0,,N,,republican,,N,Fuel/Retail/Sports Ownership,"Education, University of Tennessee",Y,retail,Retail/Wholesale Fuel,Board Member / Chairman,Majority Owner,Minority Owner,ops,low,,80.0,,1975,48.0,14.0,3.0,
jimmy_john_liautaud,19,,18.0,0,3.0,N,Solo,high,,,,0.0,,american,"N/A (loan, not family business)",,,N,wealthy,Army veteran,N,,,,,N,,White,Family loan ($25K from father),family_capital,,,,fragmented,,medium,brand,Brand / Franchise Network,,,0.0,1.0,2.0,,,,republican,,N,Food & Beverage / Restaurant Operations,,Y,other,Franchise,,,,sales,,,90.0,N,1983,,,,
jimmy_rane,,,,0,,Y,Brother (family partner),,Law practice,TransDigm,,,,,Wood treating/lumber,,,N,,,,,Howley Family Foundation,,,N,,,Family/bootstrapped,self_funded,,,Congressional testimony over Pentagon overcharging allegations,winner_take_most,,medium,ip,Sole-source supplier / proprietary components,,,1.0,1.0,,,,,,,,Operations/Sales,Education scholarships for low-income students; Catholic high schools in Cleveland and Philadelphia,,product_sales,Product sales,Lawyer,Co-Founder / Chairman,,"ops,sales",,,,,1971,,,,
jitendra_mohan,,,,2,,Y,"Sanjay Gajendra (COO), Casey Morrison (CPO)",,Texas Instruments,,Astera Labs,,,"american,taiwanese",Plastics/Manufacturing,,,N,wealthy,"Chairman, Formosa Plastics (Taiwan)",Y,Accel,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,"Healthcare, education, missionary work",,other,Semiconductor/Hardware,Employee (semiconductor),,Cofounder and CEO,,,,,,2017,,,,
jody_allen,36,,,0,6.0,N,,medium,Cablevision,,,20000.0,,"american,white",Cable television / media,Y,Vulcan Inc,Y,upper_middle,,N,,Paul G. Allen Family Foundation,,,N,,,,,,,,,,low,"brand,distribution",Content / Distribution / Franchise territories,,,,3.0,1.0,,,,democrat,,,Cable / media,"Science, technology, conservation (Allen Institute for Brain Science, Allen Institute for AI)",,"media_entertainment,real_estate",Investment management; sports teams; real estate; philanthropy,Founder,,,,low,,,,1961,43.0,,,43.0
joe_agresti,31,,,0,,Y,"Nick Saban (brand/minority partner), Steve Cannon (former Mercedes-Benz USA CEO)",,Arthur Andersen,Asbury Automotive,Mercedes-Benz of Baton Rouge,,,"american,italian",Shipping / Maritime,,,N,working,Shipping company executive (Crowley Maritime),N,,,,,N,,,"Personal savings, home mortgage, bank loan",self_funded,,,,fragmented,,medium,,,,Worked with Senator Bernie Moreno on automotive policy; considering running for federal office,2.0,2.0,,,,,republican,,,Automotive retail,,,retail,Retail sales + service,Accountant/Staff,Auto dealer role,Owner/Investor,"finance,ops,sales",,,,,2013,,,,
joe_gebbia,27,35.0,,0,,Y,"Chesky (ops/strategy), Blecharczyk (tech/engineering)",low,Airbnb,Samara,,1580.0,,"american,white",NFL/NBA Sports Teams,,,N,wealthy,,N,Sequoia Capital,,,,Y,U.S. Chief Design Officer (appointed August 2025),Italian/Irish descent,Self-funded (air mattress rental),self_funded,,,,winner_take_most,,low,network_effects,Network Effects,,Appointed U.S. Chief Design Officer 2025,2.0,2.0,3.0,,,,,,N,Design,"Housing, design education, community development",,"platform_marketplace,transaction_commission",Marketplace/Commission,Co-Founder,Founder,,"creative,product",low,,100.0,,2008,18.0,12.0,,9.0
joe_kiani,,,22.0,0,,N,Gary Stevenson (college buddy),,,Willow Labs,Like Minded Labs,,,"american,iranian",None mentioned,,,N,,Engineer,Y,L Catterton,,,,,,,Bootstrapped/Self-funded,self_funded,,,Multiple patent infringement lawsuits with Peloton since 2016,winner_take_most,,medium,brand,Brand + Content ecosystem,,,1.0,3.0,,college,Y,"Iran to USA, 1974",,,,,,,saas_subscription,Hardware + Subscription,,Executive Chairman,Chairman,,,,,,1989,,,,
joe_lacob,49,,,2,1.0,Y,Bruce Karsh and four colleagues,high,Kleiner Perkins (partner 1987-2010),Golden State Warriors,Oaktree Capital Management,0.0,,american,,Y,,N,middle,,N,,,,,N,,of Italian descent,Personal Investment,other,,,,fragmented,,medium,"brand,reputation","Brand/Reputation, Track Record",,,5.0,1.0,2.0,,N,,democrat,,N,Venture Capital / Sports Ownership,"Education, Health, Youth Sports",Y,other,Golden State Warriors co-owner/governor ($450M purchase 2010; 4 NBA championships 2015-2022; now worth ~$8.8B),Partner / Venture Investor,Co-Owner,Co-Founder and Co-Chairman,finance,low,,25.0,,2010,23.0,14.0,,0.0
joe_lonsdale,22,,22.0,1,,Y,,,Thiel Capital / hedge fund (Peter Thiel),Palantir,OpenGov,,,"american,white",,Y,,N,upper_middle,,N,Accel,Cicero Institute,,,N,,,,,,,"Stanford University sexual assault allegation (2015, case dropped)",,,high,,,,"Entrepreneur-friendly public policy, healthcare, housing",6.0,3.0,,,,,republican,Conservative,N,Venture Capital / Technology,"Public policy reform, housing, healthcare, criminal justice",,other,AI systems / enterprise,Employee / early career role,Co-Founder,Co-Founder,"finance,tech",high,,,,2015,,,,
joe_mansueto,26,,26.0,0,,N,Rahul Bhatia (hospitality/travel services background),low,United Airlines (SVP),US Airways (CEO),IndiGo (InterGlobe Aviation),,35.0,"american,italian",,,,N,,,Y,,Mansueto Foundation,,,N,,,Personal savings,self_funded,,,,winner_take_most,,low,"brand,data,switching_costs",Data/brand/switching costs,,,0.0,1.0,,,Y,born India,,,,Investment Research/Finance,"Urban innovation, education",,financial_services,"Investment research, data, credit ratings ($2.2B revenue)",Analyst/Manager,CEO and Chairman,Co-Founder,finance,,22.0,36.0,,1984,,,16.0,
joe_rogers_jr,26,,,0,,N,,low,Waffle House,Goldman Sachs,Element Capital Management,,,,Restaurant chain (Waffle House),,,Y,wealthy,Waffle House co-founder,,,,,,,,,,,,,,fragmented,,medium,"ip,reputation",Proprietary trading expertise,,,,1.0,,,,,,,,Macro Trading,,,financial_services,Hedge Fund / Management & Performance Fees,Chairman,Trader,Founder / Portfolio Manager,finance,low,,,,1973,,,,
joe_shoen,,,26.0,0,1.0,Y,,low,Amerco (U-Haul parent),Indianapolis Colts,,,,,Truck and trailer rental / self-storage,,,Y,wealthy,Co-founder of U-Haul (truck and trailer rental),N,,,,,,,,,,,,,,,,,,Co-founder of U-Haul (truck and trailer rental),,2.0,,,,,,,,,,,,,,President and Chairman,Marketing and community relationships,,,,,33.3,,1945,,,,
joel_glazer,,,,0,,N,,,Rock Financial (Gary Gilbert freelance),,,,,,"Sports franchises (NFL, soccer) and real estate",,,Y,wealthy,Shopping mall magnate / sports franchise owner,,Accel,Tampa Bay Buccaneers Foundation (sister chairs),,,N,,,,,,,,,,medium,,,,,,3.0,1.0,,,,,,,Interior Design,Neurofibromatosis research; housing stability; economic mobility in Detroit,,,,Freelance Designer,,,"ops,sales",,,,,2013,,,,
joel_greenberg,,,,0,,Y,Jeff Yass (trading/finance),,Susquehanna International Group,,,,,,Retail clothing (men's and women's casual clothing),,,N,wealthy,Retail clothing store owner (started The Buckle in 1948),,,,,,,,,,,,,,fragmented,,,,,,,1.0,1.0,,,,,,,,,,,retail,Retail (in-store and online),Cofounder / Chief Operating Officer,,,,,,33.0,,1987,,,,
john_a_sobrato,40,,,0,1.0,N,,low,Family real estate business (with mother),The Sobrato Organization,,,100.0,"american,italian",Real estate,Y,Sobrato Capital,N,middle,Restaurant owner (deceased),N,Accel,Sobrato Family Foundation,,1.6,Y,,,Self-funded,self_funded,,,,fragmented,,low,"location,scale",Scale / location advantage in Silicon Valley,Real estate developer,,0.0,1.0,,,,,,,N,Real estate development,"STEM education, higher education",,other,Rental / lease income,Developer / partner,Founder / Chairman Emeritus,,"ops,sales",low,,,,1979,,,,
john_a_sobrato,,33.0,,0,0.0,N,,medium,DriveTime,Carvana,,,1000.0,"american,italian",Real estate development,,,Y,middle,Restaurateur (died when John was 13),,,Sobrato Philanthropies ($1B+ assets),,,Y,,parents were immigrants,Parent company (DriveTime),other,,,,fragmented,,low,location,"Silicon Valley location / Major tech tenants (Apple, Amazon, Netflix, Airbnb)",Real estate developer/investor,,,1.0,,,,,,,N,,"$100M Santa Clara University (2021), built 4 Sobrato Centers for Nonprofits (350, 000 sqft, 75 nonprofits rent-free), homeless housing",,other,"Commercial/residential RE (7.5M+ sqft office, ~6,700 apartments, 75+ properties)",Subsidiary founder (Carvana),Cofounder and CEO,,,,,,,1979,5.0,14.0,,
john_abele,,,,0,,Y,,,,,,600.0,130.0,,"Sports franchise (MLB, MLS, media, hospitality)",,,N,wealthy,U.S. Navy submarine commander,,,Argosy Foundation,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,Variety of charitable causes,,,,,,,,,,,,1979,,,,17.0
john_arnold,28,,,1,,N,,medium,Enron,Enron,Centaurus Advisors,0.0,3000.0,"american,white",,Y,Arnold Ventures,N,upper_middle,,N,,Arnold Ventures (formerly Laura and John Arnold Foundation),,,Y,,,,,Y,,,,,medium,"brand,ip",Brand/IP,,Major Democratic Party donor; close to Clintons; pro-Israel,0.0,1.0,2.0,,,"Born Alexandria, Egypt; raised in Israel; moved to US 1983",independent,Bipartisan (historically both R and D donations),,Energy trading,"Criminal justice reform, education reform, healthcare costs, research integrity",,energy_resources,Natural gas trading (retired from trading 2012; now full-time philanthropy),Energy trader (youngest VP),Energy Trader,Founder/Portfolio Manager,finance,low,6.0,,,2002,6.0,,,
john_arrillaga,,,,0,,Y,Richard Peery - real estate development partner,medium,EF Hutton,Highbridge Capital,Engineer's Gate,,,"american,white",,Y,Dubin & Co.,N,working,,N,,Robin Hood Foundation,,,Y,,Basque heritage,,,,,,,,low,other,Multi-strategy / Quantitative,,,1.0,3.0,,high_school,,,republican,,,Real Estate Development,"Stanford University ($200M+ in gifts), education",,real_estate,Commercial real estate development (Silicon Valley office/industrial parks),Stock Broker,Co-Founder,Co-Founder,ops,low,,,,1992,,12.0,,12.0
